id;name;description;instructions;cook_time;servings;created_date
1;longingly;verify;../fake-data/blob/hipster.txt;26814;15079;2024-12-17T20:24:16
2;ack yin pfft;huzzah;../fake-data/blob/hipster.txt;29712;7672;2024-12-17T21:55:21
3;indeed;winding abacus athwart;../fake-data/blob/hipster.txt;298;20646;2024-12-18T06:54:01
4;bah;lazily under;../fake-data/blob/hipster.txt;20701;19326;2024-12-17T09:41:35
5;mortar bah;save prickly;../fake-data/blob/hipster.txt;5578;3221;2024-12-17T20:24:52
6;ambitious unbearably;although best;../fake-data/blob/hipster.txt;14835;10360;2024-12-18T01:15:37
7;tomorrow;unimpressively now turret;../fake-data/blob/hipster.txt;22060;27719;2024-12-17T14:32:09
8;yuck;a those;../fake-data/blob/hipster.txt;4186;8706;2024-12-17T22:57:07
9;bossy annually sardonic;officially;../fake-data/blob/hipster.txt;29437;28985;2024-12-18T00:17:30
10;sharply between;swim;../fake-data/blob/hipster.txt;25471;15232;2024-12-17T16:05:20
